Price,Price_per_SQFT,Bedrooms,SQFT,Zip Code,City,Bathrooms,Suburb,House Type,Built,Remodeled,Country,Condition
"$317,420.00 ",$210.49 ,2,1508,8009,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1987,2009,Spain,1
"$67,100.00 ",$23.63 ,1,2840,8008,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1972,2022,Spain,4
"$56,840.00 ",$23.57 ,2,2412,8016,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,2000,2010,Spain,5
"$59,150.00 ",$29.92 ,1,1977,8002,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1970,2010,Spain,4
"$317,420.00 ",$146.89 ,2,2161,8011,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1961,2018,Spain,3
"$52,250.00 ",$32.92 ,2,1587,8012,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1969,2007,Spain,1
"$344,320.00 ",$178.13 ,1,1933,8011,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1954,2007,Spain,1
"$317,420.00 ",$138.31 ,1,2295,8007,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1983,2008,Spain,2
"$56,700.00 ",$35.17 ,2,1612,8007,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1971,2013,Spain,1
"$425,000.00 ",$193.71 ,2,2194,8014,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1966,2011,Spain,2
"$87,500.00 ",$31.17 ,1,2807,8006,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1991,2019,Spain,1
"$844,800.00 ",$291.41 ,2,2899,8005,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1977,2009,Spain,2
"$586,420.00 ",$238.00 ,1,2464,8003,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1983,2013,Spain,5
"$65,340.00 ",$27.36 ,2,2388,8004,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1987,2019,Spain,1
"$68,440.00 ",$30.30 ,1,2259,8016,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1966,2023,Spain,5
"$63,700.00 ",$26.85 ,2,2372,8001,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1945,2005,Spain,2
"$100,740.00 ",$41.63 ,1,2420,8003,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1974,2023,Spain,1
"$114,540.00 ",$59.04 ,2,1940,8010,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1958,2007,Spain,5
"$41,300.00 ",$18.79 ,2,2198,8013,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1957,2017,Spain,4
"$104,400.00 ",$64.68 ,2,1614,8004,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1947,2006,Spain,4
"$52,200.00 ",$17.47 ,1,2988,8013,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1988,2008,Spain,1
"$69,875.00 ",$26.16 ,1,2671,8009,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1992,2005,Spain,2
"$425,000.00 ",$178.42 ,2,2382,8004,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1974,2020,Spain,1
"$867,913.20 ",$383.35 ,1,2264,8012,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,2001,2021,Spain,2
"$88,750.00 ",$31.81 ,2,2790,8008,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1990,2010,Spain,1
"$70,310.00 ",$35.73 ,1,1968,8014,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1970,2018,Spain,1
"$70,950.00 ",$34.03 ,1,2085,8009,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1995,2010,Spain,2
"$64,800.00 ",$22.61 ,2,2866,8016,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1957,2016,Spain,2
"$402,800.00 ",$164.07 ,2,2455,8011,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1996,2023,Spain,5
"$91,000.00 ",$60.38 ,2,1507,8003,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1998,2007,Spain,1
"$57,000.00 ",$27.75 ,1,2054,8011,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1973,2019,Spain,5
"$522,000.00 ",$225.29 ,2,2317,8014,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1983,2015,Spain,4
"$159,000.00 ",$72.04 ,1,2207,8012,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1945,2008,Spain,3
"$1,032,000.00 ",$408.07 ,2,2529,8001,Barcelona,2,ciutat-meridiana-torre-baro-vallbona,Apartment,1994,2019,Spain,1
"$375,000.00 ",$155.93 ,2,2405,8009,Barcelona,1,ciutat-meridiana-torre-baro-vallbona,Apartment,1951,2016,Spain,4
