Suburb,City,Price,SQFT,Price_per_sqft,Bedrooms,Bathrooms,Zip Code,House Type,Built,Remodeled,Country,Condition
Palm Jumeirah,Dubai,"$2,700,000.00 ",1079,"$2,502.32 ",1,2,25315,Apartment,2009,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,850,000.00 ",1582,"$1,801.52 ",2,2,25315,Apartment,2019,0,U.A.E,5
Jumeirah Lake Towers,Dubai,"$1,150,000.00 ",1951,$589.44 ,3,5,25314,Apartment,2015,0,U.A.E,5
Culture Village,Dubai,"$2,850,000.00 ",2020,"$1,410.89 ",2,3,25314,Apartment,2007,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,729,200.00 ",507,"$3,410.65 ",0,1,25314,Apartment,2005,0,U.A.E,5
Palm Jumeirah,Dubai,"$3,119,900.00 ",1015,"$3,073.79 ",1,2,25315,Apartment,2005,0,U.A.E,4
Palm Jumeirah,Dubai,"$8,503,600.00 ",2062,"$4,123.96 ",2,3,25315,Apartment,2017,0,U.A.E,5
Palm Jumeirah,Dubai,"$3,119,900.00 ",1015,"$3,073.79 ",1,2,25314,Apartment,2012,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,100,000.00 ",2186,$960.66 ,3,3,25314,Apartment,2013,0,U.A.E,4
Downtown Dubai,Dubai,"$2,690,000.00 ",1521,"$1,768.57 ",2,3,25315,Apartment,2015,0,U.A.E,5
Downtown Dubai,Dubai,"$3,550,000.00 ",1918,"$1,850.89 ",3,4,25315,Apartment,2010,0,U.A.E,5
Dubai Marina,Dubai,"$2,094,999.00 ",1058,"$1,980.15 ",2,3,25315,Apartment,2005,0,U.A.E,4
Dubai Marina,Dubai,"$1,049,999.00 ",609,"$1,724.14 ",1,2,25315,Apartment,2006,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,849,000.00 ",1071,"$1,726.42 ",1,1,25314,Apartment,2021,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,089,999.00 ",1051,"$1,988.58 ",1,1,25315,Apartment,2017,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,349,990.00 ",1109,"$2,119.02 ",1,1,25314,Apartment,2011,0,U.A.E,5
Palm Jumeirah,Dubai,"$3,499,000.00 ",1633,"$2,142.68 ",2,2,25315,Apartment,2015,0,U.A.E,4
Downtown Dubai,Dubai,"$2,700,000.00 ",1348,"$2,002.97 ",2,3,25314,Apartment,2007,0,U.A.E,5
Downtown Dubai,Dubai,"$1,490,000.00 ",1167,"$1,276.78 ",2,2,25314,Apartment,2023,0,U.A.E,4
Business Bay,Dubai,"$950,000.00 ",894,"$1,062.64 ",1,2,25315,Apartment,2010,0,U.A.E,4
Dubai Marina,Dubai,"$1,100,000.00 ",985,"$1,116.75 ",2,2,25314,Apartment,2017,0,U.A.E,4
Dubai Marina,Dubai,"$1,390,000.00 ",1307,"$1,063.50 ",2,4,25315,Apartment,2008,0,U.A.E,4
Downtown Dubai,Dubai,"$3,999,900.00 ",2323,"$1,721.87 ",3,4,25314,Apartment,2006,0,U.A.E,5
Dubai Marina,Dubai,"$3,349,000.00 ",3930,$852.16 ,3,4,25315,Apartment,2010,0,U.A.E,5
Palm Jumeirah,Dubai,"$8,470,000.00 ",5232,"$1,618.88 ",3,3,25314,Apartment,2012,0,U.A.E,4
Dubai Marina,Dubai,"$2,499,000.00 ",2490,"$1,003.61 ",3,4,25314,Apartment,2015,0,U.A.E,5
Downtown Dubai,Dubai,"$2,800,000.00 ",1712,"$1,635.51 ",2,3,25315,Apartment,2009,0,U.A.E,5
Dubai Marina,Dubai,"$8,500,000.00 ",5079,"$1,673.56 ",4,4,25314,Apartment,2008,0,U.A.E,4
Downtown Dubai,Dubai,"$1,875,000.00 ",1543,"$1,215.17 ",2,3,25314,Apartment,2015,0,U.A.E,4
Old Town,Dubai,"$1,275,000.00 ",938,"$1,359.28 ",1,2,25314,Apartment,2007,0,U.A.E,5
Al Kifaf,Dubai,"$1,465,777.00 ",999,"$1,467.24 ",1,2,25315,Apartment,2015,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,260,000.00 ",1646,$765.49 ,2,3,25315,Apartment,2022,0,U.A.E,4
Meydan,Dubai,"$1,386,795.00 ",1084,"$1,279.33 ",2,3,25314,Apartment,2005,0,U.A.E,5
Culture Village,Dubai,"$4,500,000.00 ",3048,"$1,476.38 ",2,3,25315,Apartment,2005,0,U.A.E,4
Arjan,Dubai,"$750,000.00 ",796,$942.21 ,1,1,25315,Apartment,2011,0,U.A.E,4
Arjan,Dubai,"$991,000.00 ",1162,$852.84 ,2,2,25315,Apartment,2018,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$3,599,999.00 ",1966,"$1,831.13 ",3,3,25315,Apartment,2009,0,U.A.E,5
Dubai Marina,Dubai,"$2,625,000.00 ",1786,"$1,469.76 ",3,4,25315,Apartment,2021,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,270,000.00 ",900,"$1,411.11 ",1,2,25314,Apartment,2005,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,398,000.00 ",1168,"$1,196.92 ",1,2,25315,Apartment,2021,0,U.A.E,4
Dubai Marina,Dubai,"$1,795,000.00 ",1002,"$1,791.42 ",1,2,25314,Apartment,2019,0,U.A.E,5
Old Town,Dubai,"$1,600,000.00 ",1221,"$1,310.40 ",2,3,25315,Apartment,2011,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,050,000.00 ",549,"$1,912.57 ",0,1,25315,Apartment,2021,0,U.A.E,4
Greens,Dubai,"$1,150,000.00 ",1133,"$1,015.00 ",2,2,25315,Apartment,2005,0,U.A.E,5
City Walk,Dubai,"$1,800,000.00 ",1191,"$1,511.34 ",1,2,25314,Apartment,2013,0,U.A.E,5
Al Furjan,Dubai,"$1,349,999.00 ",1861,$725.42 ,3,4,25314,Apartment,2020,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,800,000.00 ",1582,"$1,137.80 ",2,3,25315,Apartment,2008,0,U.A.E,5
Business Bay,Dubai,"$2,353,146.00 ",1168,"$2,014.68 ",2,3,25314,Apartment,2023,0,U.A.E,5
Dubai Marina,Dubai,"$2,800,000.00 ",3172,$882.72 ,4,5,25315,Apartment,2016,0,U.A.E,4
DAMAC Hills,Dubai,"$365,000.00 ",451,$809.31 ,0,1,25314,Apartment,2017,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,980,000.00 ",935,"$2,117.65 ",1,1,25315,Apartment,2007,0,U.A.E,4
Dubai Marina,Dubai,"$2,300,000.00 ",775,"$2,967.74 ",1,2,25315,Apartment,2018,0,U.A.E,5
Dubai Marina,Dubai,"$2,200,000.00 ",1277,"$1,722.79 ",2,3,25314,Apartment,2007,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,270,000.00 ",981,"$1,294.60 ",1,2,25314,Apartment,2006,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$2,650,000.00 ",1703,"$1,556.08 ",2,2,25315,Apartment,2007,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$375,000.00 ",450,$833.33 ,0,1,25314,Apartment,2011,0,U.A.E,5
Jumeirah Golf Estates,Dubai,"$1,150,000.00 ",1367,$841.26 ,2,3,25315,Apartment,2020,0,U.A.E,4
Business Bay,Dubai,"$2,400,000.00 ",1965,"$1,221.37 ",3,4,25315,Apartment,2018,0,U.A.E,4
Business Bay,Dubai,"$1,700,000.00 ",1358,"$1,251.84 ",2,3,25315,Apartment,2011,0,U.A.E,4
Business Bay,Dubai,"$1,709,847.00 ",1367,"$1,250.80 ",2,3,25314,Apartment,2019,0,U.A.E,5
