Price,House Type,SQFT,Bedrooms,Bathrooms,Suburb,City,Zip Code,Price_per_SQFT,Country,Condition,Built,Remodeled
"$1,675,000.00 ",House,2716,5,5,Wimbledon,London,0,$616.72 ,England,2,1958,2004
"$650,000.00 ",Apartment,814,2,2,Clerkenwell,London,0,$798.53 ,England,4,1938,2006
"$735,000.00 ",Apartment,761,2,2,Putney,London,0,$965.83 ,England,5,1911,2011
"$1,765,000.00 ",House,1986,4,4,Putney,London,0,$888.72 ,England,5,1925,2006
"$675,000.00 ",Apartment,700,2,2,Putney,London,0,$964.29 ,England,2,1877,2009
"$420,000.00 ",Apartment,403,1,1,,London,0,"$1,042.18 ",England,5,1967,2019
"$1,475,000.00 ",House,1548,4,4,,London,0,$952.84 ,England,3,1851,2002
"$650,000.00 ",New development,560,1,1, Fulham,London,0,"$1,160.71 ",England,1,1943,2002
"$2,500,000.00 ",House,1308,3,3,,London,0,"$1,911.31 ",England,3,1964,2007
"$925,000.00 ",Apartment,646,2,2,,London,0,"$1,431.89 ",England,1,1895,2001
"$2,400,000.00 ",House,3392,6,6,,London,0,$707.55 ,England,4,1969,2008
"$2,500,000.00 ",House,2974,6,6,Highgate,London,0,$840.62 ,England,1,1951,2006
"$2,795,000.00 ",House,5294,5,5,Walton-on-Thames,Surrey,0,$527.96 ,England,2,1953,2020
"$725,000.00 ",Apartment,778,2,2, St. John's Wood,London,0,$931.88 ,England,2,1975,2006
"$750,000.00 ",Apartment,647,2,2,17 Abercorn Place,London,0,"$1,159.20 ",England,2,1976,2014
"$12,500,000.00 ",House,4596,6,6,Regents Park,London,0,"$2,719.76 ",England,4,1929,2018
"$1,450,000.00 ",Apartment,1702,3,3,,Twickenham,0,$851.94 ,England,5,1961,2020
"$1,250,000.00 ",House,3503,6,6, Coulsdon,Surrey,0,$356.84 ,England,3,1851,2016
"$2,275,000.00 ",New development,1173,3,3,Primrose Hill,London,0,"$1,939.47 ",England,4,1942,2003
"$1,075,000.00 ",Apartment,865,2,2,,Holland Park,0,"$1,242.77 ",England,3,1850,2000
"$500,000.00 ",Apartment,597,1,1,,London,0,$837.52 ,England,2,1956,2005
"$5,500,000.00 ",House,3016,4,4,Marylebone,London,0,"$1,823.61 ",England,1,1949,2009
"$8,950,000.00 ",New development,3154,4,4,10 Draycott Avenue,London,0,"$2,837.67 ",England,2,1883,2020
"$1,175,000.00 ",Apartment,765,2,2,,London,0,"$1,535.95 ",England,5,1909,2008
"$550,000.00 ",Apartment,479,1,1,Islington,London,0,"$1,148.23 ",England,4,1970,2000
"$1,300,000.00 ",House,1101,3,3, Islington,London,0,"$1,180.74 ",England,3,1953,2014
"$800,000.00 ",Apartment,1177,3,3,South Hampstead,London,0,$679.69 ,England,5,1943,2023
"$3,500,000.00 ",House,2331,4,4,Belsize Park,London,0,"$1,501.50 ",England,5,1902,2004
"$374,950.00 ",New development,664,2,2,Esher,Surrey,0,$564.68 ,England,5,1920,2012
"$400,000.00 ",Apartment,805,2,2, Surbiton,Surrey,0,$496.89 ,England,2,1853,2008
"$1,100,000.00 ",Apartment,582,2,2,20-21 Wetherby Gardens,London,0,"$1,890.03 ",England,5,1851,2009
"$1,200,000.00 ",House,1494,4,4,,London,0,$803.21 ,England,3,1865,2009
"$1,250,000.00 ",House,1507,4,4,,London,0,$829.46 ,England,2,1958,2003
"$695,000.00 ",Apartment,945,3,3,,London,0,$735.45 ,England,5,1931,2017
"$1,735,000.00 ",House,2118,4,4,Chiswick,London,0,$819.17 ,England,1,1898,2000
"$2,350,000.00 ",House,2297,5,5,Chiswick,London,0,"$1,023.07 ",England,1,1871,2018
"$1,200,000.00 ",House,1351,4,4,Chiswick,London,0,$888.23 ,England,5,1869,2016
"$975,000.00 ",Apartment,749,2,2,,London,0,"$1,301.74 ",England,1,1905,2001
"$850,000.00 ",House,1177,3,3,Barnes,London,0,$722.18 ,England,1,1971,2007
"$1,599,950.00 ",House,1884,4,4,Fulham,London,0,$849.23 ,England,5,1865,2004
"$925,000.00 ",Apartment,1321,2,2,,London,0,$700.23 ,England,1,1886,2009
"$650,000.00 ",Apartment,869,3,3,,Battersea,0,$747.99 ,England,1,1860,2018
"$550,000.00 ",Apartment,670,1,1,,London,0,$820.90 ,England,4,1929,2012
"$9,975,000.00 ",House,10100,10,10, Battersea,London,0,$987.62 ,England,1,1933,2006
"$1,850,000.00 ",House,1910,5,5,,London,0,$968.59 ,England,3,1860,2005
"$525,000.00 ",New development,590,1,1,,London,0,$889.83 ,England,5,1858,2004
"$2,200,000.00 ",House,2239,4,4,,London,0,$982.58 ,England,5,1869,2020
"$3,450,000.00 ",House,5599,6,6,Walton-on-Thames,Surrey,0,$616.18 ,England,1,1962,2022
"$1,999,999.00 ",Apartment,1608,3,3, Victoria,London,0,"$1,243.78 ",England,4,1964,2005
"$725,000.00 ",House,884,3,3,South Hackney,London,0,$820.14 ,England,4,1906,2009
"$1,750,000.00 ",Apartment,1232,2,2,Grove End Road,London,0,"$1,420.45 ",England,1,1962,2023
"$5,250,000.00 ",Apartment,2299,3,3,,London,0,"$2,283.60 ",England,1,1895,2014
"$1,250,000.00 ",New development,1307,3,3,Crouch End,London,0,$956.39 ,England,3,1978,2002
"$490,000.00 ",New development,570,1,1, Downs Road,Clapton,0,$859.65 ,England,1,1973,2021
"$3,350,000.00 ",Penthouse,2185,3,3,Coleridge Gardens,London,0,"$1,533.18 ",England,1,1878,2016
"$1,000,000.00 ",Apartment,1228,3,3,Battersea,London,0,$814.33 ,England,4,1923,2009
"$2,350,000.00 ",House,2511,4,4,Barnes,London,0,$935.88 ,England,2,1884,2022
"$2,095,000.00 ",Apartment,1528,3,3,Chelsea Harbour,London,0,"$1,371.07 ",England,5,1910,2011
"$1,250,000.00 ",Apartment,811,2,2, Bayswater,London,0,"$1,541.31 ",England,4,1890,2022
"$735,000.00 ",Apartment,969,2,2,,London,0,$758.51 ,England,5,1922,2007
"$875,000.00 ",House,1132,4,4,Tooting,London,0,$772.97 ,England,2,1957,2015
"$1,250,000.00 ",House,2498,6,6,,London,0,$500.40 ,England,1,1937,2021
"$595,000.00 ",Apartment,643,2,2,,London,0,$925.35 ,England,4,1947,2006
"$1,675,000.00 ",House,5022,3,3,Watford,Hertfordshire,0,$333.53 ,England,5,1916,2013
"$2,595,000.00 ",House,4858,6,6,Northwood,Middlesex,0,$534.17 ,England,3,1874,2002
"$820,000.00 ",House,974,3,3,Morgan Street,London,0,$841.89 ,England,3,1968,2023
"$830,000.00 ",Apartment,850,2,2,Regent's Park,London,0,$976.47 ,England,2,1952,2009
"$500,000.00 ",Apartment,458,1,1,Kentish Town,London,0,"$1,091.70 ",England,4,1934,2010
"$2,500,000.00 ",House,5999,7,7,Northwood,Middlesex,0,$416.74 ,England,5,1880,2012
"$7,500,000.00 ",House,3851,6,6,St John's Wood,London,0,"$1,947.55 ",England,3,1900,2007
"$749,950.00 ",Apartment,1382,3,3,Putney,London,0,$542.66 ,England,2,1909,2008
"$480,000.00 ",Apartment,448,1,1,,London,0,"$1,071.43 ",England,4,1916,2014
"$3,500,000.00 ",House,1763,4,4,Marylebone,London,0,"$1,985.25 ",England,4,1912,2011
"$2,100,000.00 ",Apartment,1208,3,3,Marylebone,London,0,"$1,738.41 ",England,3,1903,2003
"$650,000.00 ",New development,1023,2,2, Ealing,London,0,$635.39 ,England,1,1881,2021
"$1,050,000.00 ",House,1693,4,4,Thames Ditton,Surrey,0,$620.20 ,England,1,1904,2017
"$1,300,000.00 ",House,1890,5,5,,London,0,$687.83 ,England,5,1861,2003
"$625,000.00 ",House,1348,4,4,Kidbrooke,London,0,$463.65 ,England,5,1941,2011
"$625,000.00 ",Apartment,540,1,1,Clerkenwell,London,0,"$1,157.41 ",England,4,1912,2023
"$1,100,000.00 ",New development,791,2,2,Westminster,London,0,"$1,390.64 ",England,2,1922,2004
"$5,950,000.00 ",House,2646,4,4,,London,0,"$2,248.68 ",England,3,1850,2010
"$1,325,000.00 ",House,1375,4,4,,London,0,$963.64 ,England,5,1927,2018
"$1,250,000.00 ",Apartment,1068,2,2,,London,0,"$1,170.41 ",England,1,1927,2009
"$2,300,000.00 ",House,1119,3,3,,London,0,"$2,055.41 ",England,3,1979,2010
"$1,500,000.00 ",House,1811,4,4,Hackney,London,0,$828.27 ,England,5,1947,2011
"$1,350,000.00 ",House,1603,5,5,,London,0,$842.17 ,England,5,1887,2017
"$799,995.00 ",Apartment,942,3,3, Canary Wharf,London,0,$849.25 ,England,5,1861,2011
"$795,000.00 ",Apartment,495,1,1,,London,0,"$1,606.06 ",England,3,1863,2010
"$525,000.00 ",House,829,2,2,Woodford Green,Essex,0,$633.29 ,England,2,1908,2023
"$2,595,000.00 ",House,2120,5,5,Fulham,London,0,"$1,224.06 ",England,1,1949,2013
"$820,000.00 ",Apartment,631,2,2, Westminster,London,0,"$1,299.52 ",England,4,1970,2000
"$1,200,000.00 ",House,2108,4,4,Surbiton,Surrey,0,$569.26 ,England,5,1851,2014
"$680,000.00 ",Apartment,705,2,2,,London,0,$964.54 ,England,4,1873,2022
"$2,300,000.00 ",House,1956,3,3,,London,0,"$1,175.87 ",England,5,1956,2021
"$2,300,000.00 ",House,2083,5,5,Barnes,London,0,"$1,104.18 ",England,4,1858,2004
"$4,000,000.00 ",House,3714,5,5,Barnes,London,0,"$1,077.01 ",England,5,1876,2005
"$500,000.00 ",Apartment,516,2,2,,London,0,$968.99 ,England,2,1933,2009
"$1,275,000.00 ",Apartment,1185,3,3,Little Venice,London,0,"$1,075.95 ",England,3,1853,2005
"$4,500,000.00 ",House,2972,3,3,,London,0,"$1,514.13 ",England,3,1904,2009
"$1,750,000.00 ",House,2125,4,4,Hampstead,London,0,$823.53 ,England,5,1855,2023
"$2,600,000.00 ",House,2350,4,4,Hampstead,London,0,"$1,106.38 ",England,1,1874,2013
"$3,450,000.00 ",House,2354,4,4, Hampstead,London,0,"$1,465.59 ",England,5,1890,2013
"$2,350,000.00 ",House,2183,5,5,,London,0,"$1,076.50 ",England,2,1869,2018
"$2,375,000.00 ",Apartment,1218,2,2,St. James's,London,0,"$1,949.92 ",England,1,1874,2011
"$1,995,000.00 ",House,1841,5,5,Wimbledon,London,0,"$1,083.65 ",England,2,1954,2018
"$1,000,000.00 ",House,1154,4,4,South Hackney,London,0,$866.55 ,England,2,1959,2018
"$1,795,000.00 ",House,2314,5,5,,London,0,$775.71 ,England,5,1954,2009
"$687,500.00 ",New development,1178,3,3,,London,0,$583.62 ,England,3,1879,2009
"$2,450,000.00 ",House,1483,3,3,,London,0,"$1,652.06 ",England,1,1955,2019
"$3,500,000.00 ",Apartment,1770,2,2,410 Strand,London,0,"$1,977.40 ",England,5,1876,2018
"$1,225,000.00 ",New development,2487,5,5,Loughton,Essex,0,$492.56 ,England,5,1977,2001
