Price,Bedrooms,Bathrooms,SQFT,Price_per_SQFT,House Type,Condition,Built,Remodeled,Suburb,City,Zip Code,Country
"$313,000.00 ",3,2,1340,$233.58 ,House,3,1955,2005,None,Shoreline,98133,USA
"$2,384,000.00 ",5,3,3650,$653.15 ,House,5,1921,0,None,Seattle,98119,USA
"$342,000.00 ",3,2,1930,$177.20 ,House,4,1966,0,None,Kent,98042,USA
"$420,000.00 ",3,2,2000,$210.00 ,House,4,1963,0,None,Bellevue,98008,USA
"$550,000.00 ",4,3,1940,$283.51 ,House,4,1976,1992,None,Redmond,98052,USA
"$490,000.00 ",2,1,880,$556.82 ,House,3,1938,1994,None,Seattle,98115,USA
"$335,000.00 ",2,2,1350,$248.15 ,House,3,1976,0,None,Redmond,98052,USA
"$482,000.00 ",4,3,2710,$177.86 ,House,3,1989,0,None,Maple Valley,98038,USA
"$452,500.00 ",3,3,2430,$186.21 ,House,4,1985,0,None,North Bend,98045,USA
"$640,000.00 ",4,2,1520,$421.05 ,House,3,1945,2010,None,Seattle,98115,USA
"$463,000.00 ",3,2,1710,$270.76 ,House,3,1948,1994,None,Lake Forest Park,98155,USA
"$1,400,000.00 ",4,3,2920,$479.45 ,House,5,1909,1988,None,Seattle,98105,USA
"$588,500.00 ",3,2,2330,$252.58 ,House,3,1980,0,None,Sammamish,98074,USA
"$365,000.00 ",3,1,1090,$334.86 ,House,4,1955,2009,None,Seattle,98106,USA
"$1,200,000.00 ",5,3,2910,$412.37 ,House,3,1939,1969,None,Seattle,98105,USA
"$242,500.00 ",3,2,1200,$202.08 ,House,4,1965,0,None,Kent,98042,USA
"$419,000.00 ",3,2,1570,$266.88 ,House,4,1956,0,None,Bellevue,98007,USA
"$367,500.00 ",4,3,3110,$118.17 ,House,3,1997,0,None,Auburn,98092,USA
"$257,950.00 ",3,2,1370,$188.28 ,House,3,1987,2000,None,Des Moines,98198,USA
"$275,000.00 ",3,2,1180,$233.05 ,House,3,1983,2009,None,North Bend,98045,USA
"$750,000.00 ",3,2,2240,$334.82 ,House,5,1923,0,None,Seattle,98115,USA
"$435,000.00 ",4,1,1450,$300.00 ,House,4,1954,1979,None,Bellevue,98006,USA
"$626,000.00 ",3,2,1750,$357.71 ,House,3,2005,0,None,Seattle,98102,USA
"$612,500.00 ",4,3,2730,$224.36 ,House,3,1991,0,None,Bothell,98011,USA
"$495,000.00 ",4,2,1600,$309.38 ,House,3,1959,1989,None,Seattle,98125,USA
"$285,000.00 ",3,3,2090,$136.36 ,House,4,1987,0,None,Federal Way,98003,USA
"$615,000.00 ",3,2,2360,$260.59 ,House,4,1948,0,None,Seattle,98136,USA
"$698,000.00 ",4,2,2200,$317.27 ,House,5,1920,0,None,Kirkland,98033,USA
"$675,000.00 ",5,3,2820,$239.36 ,House,3,1979,2014,None,Issaquah,98029,USA
"$790,000.00 ",3,3,2600,$303.85 ,House,4,1951,1999,None,Seattle,98117,USA
"$382,500.00 ",4,2,1560,$245.19 ,House,4,1967,0,None,Kirkland,98034,USA
"$499,950.00 ",4,3,2860,$174.81 ,House,3,2004,2003,None,Woodinville,98072,USA
"$650,000.00 ",4,2,1820,$357.14 ,House,3,1945,2010,None,Seattle,98115,USA
"$625,000.00 ",4,3,2820,$221.63 ,House,3,2014,0,None,Shoreline,98155,USA
"$400,000.00 ",4,3,3630,$110.19 ,House,3,1979,2014,None,Auburn,98092,USA
"$604,000.00 ",3,3,3240,$186.42 ,House,3,1995,0,None,Federal Way,98023,USA
"$440,000.00 ",2,1,800,$550.00 ,House,4,1944,0,None,Seattle,98107,USA
"$287,200.00 ",3,3,1850,$155.24 ,House,4,1992,0,None,Maple Valley,98038,USA
"$403,000.00 ",3,2,1960,$205.61 ,House,5,1957,0,None,Normandy Park,98166,USA
"$750,000.00 ",3,3,2390,$313.81 ,House,4,1955,2009,None,Seattle,98116,USA
"$335,000.00 ",3,2,1580,$212.03 ,House,4,1978,2000,None,Fall City,98024,USA
"$260,000.00 ",4,2,1480,$175.68 ,House,4,1974,0,None,Renton,98055,USA
"$308,500.00 ",2,1,850,$362.94 ,House,4,1950,1983,None,Shoreline,98155,USA
"$439,950.00 ",3,3,1770,$248.56 ,House,3,1990,2009,None,Seattle,98116,USA
"$235,000.00 ",2,1,1210,$194.21 ,House,2,1949,0,None,Seattle,98106,USA
"$315,000.00 ",3,1,1160,$271.55 ,House,3,1968,1997,None,Woodinville,98077,USA
"$437,500.00 ",3,2,1970,$222.08 ,House,4,1977,0,None,Issaquah,98027,USA
"$407,500.00 ",3,3,1930,$211.14 ,House,3,1996,0,None,Renton,98059,USA
"$445,700.00 ",3,3,1270,$350.94 ,House,3,2001,0,None,Seattle,98107,USA
"$838,000.00 ",4,3,3310,$253.17 ,House,3,2001,0,None,Redmond,98052,USA
"$630,000.00 ",4,3,2710,$232.47 ,House,3,2000,0,None,Issaquah,98027,USA
"$550,000.00 ",3,2,2910,$189.00 ,House,3,1979,2014,None,Sammamish,98075,USA
"$805,000.00 ",3,2,2710,$297.05 ,House,4,1929,0,None,Seattle,98115,USA
"$284,000.00 ",3,2,1800,$157.78 ,House,3,1968,1997,None,Carnation,98014,USA
"$470,000.00 ",5,3,2210,$212.67 ,House,3,1976,0,None,Bothell,98011,USA
"$430,000.00 ",4,2,1920,$223.96 ,House,4,1954,1979,None,Bellevue,98006,USA
"$491,500.00 ",4,2,2190,$224.43 ,House,3,1968,1997,None,Auburn,98092,USA
"$785,000.00 ",5,3,3660,$214.48 ,House,3,2006,0,None,Snoqualmie,98065,USA
"$385,000.00 ",3,3,1320,$291.67 ,House,3,2008,0,None,Seattle,98199,USA
"$295,000.00 ",2,3,1630,$180.98 ,House,3,2009,0,None,Seattle,98106,USA
"$555,000.00 ",4,3,3310,$167.67 ,House,3,2012,1912,None,Snoqualmie,98065,USA
"$459,990.00 ",3,3,2680,$171.64 ,House,3,2013,1923,None,North Bend,98045,USA
"$625,000.00 ",4,3,2730,$228.94 ,House,3,2007,0,None,Renton,98059,USA
"$300,000.00 ",3,3,2540,$118.11 ,House,3,2006,0,None,Kent,98042,USA
"$625,000.00 ",4,3,2920,$214.04 ,House,3,2012,1912,None,Renton,98059,USA
"$553,000.00 ",2,1,900,$614.44 ,House,3,1944,0,None,Seattle,98117,USA
"$379,880.00 ",3,3,1650,$230.23 ,House,4,1986,0,None,Issaquah,98027,USA
"$310,000.00 ",3,1,1010,$306.93 ,House,4,1973,0,None,Snoqualmie,98065,USA
"$775,000.00 ",2,3,2680,$289.18 ,House,3,2004,2003,None,Redmond,98053,USA
"$365,000.00 ",3,3,2200,$165.91 ,House,5,1988,0,None,Renton,98058,USA
"$331,950.00 ",4,3,2530,$131.21 ,House,3,1990,2009,None,Auburn,98092,USA
"$783,500.00 ",3,3,2850,$274.91 ,House,3,1980,0,None,Seattle,98122,USA
"$628,000.00 ",4,2,2280,$275.44 ,House,3,1900,2005,None,Seattle,98122,USA
"$560,000.00 ",3,3,1900,$294.74 ,House,3,1987,2000,None,Sammamish,98074,USA
"$900,000.00 ",3,1,1330,$676.69 ,House,3,1928,1954,None,Kirkland,98033,USA
"$531,000.00 ",2,3,1270,$418.11 ,House,3,2000,0,None,Seattle,98103,USA
"$831,000.00 ",4,3,2170,$382.95 ,House,4,1982,2011,None,Seattle,98112,USA
"$780,000.00 ",4,3,2730,$285.71 ,House,3,1996,0,None,Sammamish,98074,USA
"$755,000.00 ",4,3,2120,$356.13 ,House,4,1960,2001,None,Bellevue,98005,USA
"$705,380.00 ",3,3,2490,$283.29 ,House,3,2003,0,None,Issaquah,98029,USA
"$627,000.00 ",4,2,1990,$315.08 ,House,3,1973,2013,None,Issaquah,98027,USA
"$865,000.00 ",4,3,3690,$234.42 ,House,3,1998,2006,None,Sammamish,98075,USA
"$580,000.00 ",2,1,2540,$228.35 ,House,5,1942,0,None,Seattle,98118,USA
"$410,000.00 ",3,2,1800,$227.78 ,House,4,1978,2000,None,Issaquah,98027,USA
"$485,000.00 ",4,3,2340,$207.26 ,House,4,1979,0,None,Kirkland,98034,USA
"$400,000.00 ",2,2,2110,$189.57 ,House,2,1948,0,None,Shoreline,98155,USA
"$549,000.00 ",2,1,1140,$481.58 ,House,5,1908,0,None,Seattle,98112,USA
"$620,000.00 ",3,2,1480,$418.92 ,House,3,2005,0,None,Kirkland,98033,USA
"$405,000.00 ",2,3,1410,$287.23 ,House,3,2006,0,None,Seattle,98136,USA
"$232,000.00 ",2,1,1200,$193.33 ,House,4,1958,1972,None,Des Moines,98198,USA
"$800,866.00 ",5,3,3180,$251.84 ,House,4,1990,0,None,Kirkland,98033,USA
"$650,000.00 ",3,2,2160,$300.93 ,House,4,1949,1985,None,Seattle,98177,USA
"$823,000.00 ",6,2,2920,$281.85 ,House,4,1908,0,None,Seattle,98122,USA
"$770,000.00 ",3,2,2350,$327.66 ,House,4,1939,1989,None,Seattle,98112,USA
"$524,000.00 ",3,2,1560,$335.90 ,House,4,1944,0,None,Seattle,98199,USA
"$541,125.00 ",5,3,2740,$197.49 ,House,4,1960,2001,None,Bellevue,98006,USA
"$670,000.00 ",3,3,1680,$398.81 ,House,3,1909,1998,None,Seattle,98105,USA
"$384,900.00 ",5,3,3090,$124.56 ,House,3,1968,1997,None,Federal Way,98023,USA
"$406,100.00 ",3,2,1410,$288.01 ,House,3,2005,0,None,Seattle,98103,USA
"$1,395,000.00 ",5,4,4010,$347.88 ,House,5,1971,0,None,Seattle,98105,USA
"$736,500.00 ",4,3,3180,$231.60 ,House,3,2000,0,None,Renton,98059,USA
"$570,000.00 ",3,2,2010,$283.58 ,House,3,1975,0,None,Redmond,98052,USA
"$787,000.00 ",3,2,1330,$591.73 ,House,3,1961,2004,None,Bellevue,98004,USA
"$328,000.00 ",4,3,2370,$138.40 ,House,3,1998,2006,None,Auburn,98092,USA
"$435,000.00 ",5,2,1840,$236.41 ,House,4,1942,1958,None,Seattle,98133,USA
"$499,000.00 ",4,3,2910,$171.48 ,House,3,2006,0,None,Snoqualmie,98065,USA
"$501,000.00 ",4,1,2070,$242.03 ,House,3,1963,2008,None,Bellevue,98008,USA
"$1,090,000.00 ",4,3,4340,$251.15 ,House,3,1992,0,None,Redmond,98053,USA
"$400,000.00 ",2,1,840,$476.19 ,House,3,1955,2005,None,Seattle,98136,USA
"$220,000.00 ",4,2,1240,$177.42 ,House,3,1971,0,None,Federal Way,98023,USA
"$657,100.00 ",4,1,1390,$472.73 ,House,3,1924,2011,None,Seattle,98103,USA
"$309,950.00 ",4,3,2310,$134.18 ,House,3,2006,0,None,Maple Valley,98038,USA
"$300,000.00 ",3,2,1050,$285.71 ,House,3,1986,0,None,Duvall,98019,USA
"$525,888.00 ",5,2,2550,$206.23 ,House,5,1960,0,None,Issaquah,98027,USA
"$740,000.00 ",4,2,2010,$368.16 ,House,3,1902,0,None,Seattle,98119,USA
"$340,000.00 ",5,1,1120,$303.57 ,House,4,1962,0,None,Kirkland,98034,USA
"$398,750.00 ",3,3,2230,$178.81 ,House,3,1954,2005,None,Seattle,98144,USA
"$206,000.00 ",2,1,810,$254.32 ,House,5,1944,0,None,Burien,98168,USA
"$1,030,000.00 ",5,3,3190,$322.88 ,House,3,1976,0,None,Bellevue,98006,USA
"$600,000.00 ",3,2,1670,$359.28 ,House,4,1976,1992,None,Sammamish,98075,USA
"$379,950.00 ",4,2,1970,$192.87 ,House,5,1960,0,None,Shoreline,98133,USA
"$287,000.00 ",3,1,1450,$197.93 ,House,4,1953,1983,None,Seattle,98118,USA
"$2,280,000.00 ",7,8,13540,$168.39 ,House,3,1999,0,None,Redmond,98053,USA
"$309,950.00 ",3,3,1880,$164.87 ,House,3,1994,0,None,Renton,98055,USA
"$600,000.00 ",3,2,1880,$319.15 ,House,4,1945,0,None,Seattle,98115,USA
"$418,000.00 ",3,2,1410,$296.45 ,House,4,1930,0,None,Seattle,98103,USA
